Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Santorini,Greece,36.404,25.396,Shield volcano,1866
Ofu-Olosega,United States,-14.175,-169.618,Shield volcano,1866
Zaozan [Zaosan],Japan,38.144,140.44,Complex volcano,1867
Mauna Loa,United States,19.475,-155.608,Shield volcano,1868
Etna,Italy,37.748,14.999,Stratovolcano,1868
Lewotobi,Indonesia,-8.542,122.775,Stratovolcano,1869
Lamongan,Indonesia,-7.981,113.341,Stratovolcano,1869
Ruang,Indonesia,2.3,125.37,Stratovolcano,1870
Iliwerung,Indonesia,-8.532,123.573,Complex volcano,1870
Ambae,Vanuatu,-15.389,167.835,Shield volcano,1870
Ruang,Indonesia,2.3,125.37,Stratovolcano,1871
Camiguin,Philippines,9.203,124.673,Stratovolcano,1871
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1871
Mayon,Philippines,13.257,123.685,Stratovolcano,1871
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1872
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1872
Vesuvius,Italy,40.821,14.426,Complex volcano,1872
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1872
Asosan,Japan,32.884,131.104,Caldera,1872
Sinarka,Russia,48.873,154.182,Stratovolcano,1872
Ragang,Philippines,7.691,124.507,Stratovolcano,1873
Vesuvius,Italy,40.821,14.426,Complex volcano,1873
Miyakejima,Japan,34.094,139.526,Stratovolcano,1874
Taal,Philippines,14.002,120.993,Stratovolcano,1874
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1875
Askja,Iceland,65.033,-16.783,Stratovolcano,1875
Mayon,Philippines,13.257,123.685,Stratovolcano,1875
Mauna Loa,United States,19.475,-155.608,Shield volcano,1877
Cotopaxi,Ecuador,-0.677,-78.436,Stratovolcano,1877
Yasur,Vanuatu,-19.532,169.447,Stratovolcano,1878
Rabaul,Papua New Guinea,-4.271,152.203,Pyroclastic shield,1878
Yasur,Vanuatu,-19.532,169.447,Stratovolcano,1878
Okmok,United States,53.43,-168.13,Shield volcano,1878
Stromboli,Italy,38.789,15.213,Stratovolcano,1879
